Название блюда,Категория,Граммовка,Калории,Цена
Стейк из говядины,Мясные блюда,300 г,550 ккал,25.99
Лосось на гриле,Рыбные блюда,200 г,400 ккал,22.50
Салат Цезарь,Салаты,250 г,320 ккал,12.99
Паста Карбонара,Паста,350 г,650 ккал,16.50
Шашлык из курицы,Мясные блюда,400 г,480 ккал,18.75
Рыбный тартар,Рыбные блюда,150 г,280 ккал,14.50
Пицца Маргарита,Пицца,500 г,900 ккал,20.99
Суп Том Ям,Супы,300 г,200 ккал,8.50
Котлеты по-киевски,Мясные блюда,350 г,600 ккал,17.25
Суши Сет Филадельфия,Суши,300 г,400 ккал,19.99
Омлет с овощами,Завтраки,320 г,350 ккал,10.99
Мисо суп,Супы,250 г,120 ккал,7.50
Паста Песто,Паста,300 г,550 ккал,15.50
Салат Греческий,Салаты,200 г,280 ккал,9.99
Креветки в чесночном соусе,Морепродукты,250 г,400 ккал,21.75
Стейк Тунца,Морепродукты,200 г,420 ккал,23.50
Ризотто с грибами,Ризотто,300 г,380 ккал,14.99
Картофель фри,Гарниры,200 г,320 ккал,6.99
Бургер с говяжьей котлетой,Бургеры,250 г,550 ккал,13.50
Фриттата с овощами,Завтраки,300 г,400 ккал,11.99
